Time,Hand:x,Hand:y,Hand:z
1.251,318.77444,342.22922,161.89351
1.668,319.733,341.6207,157.51291
2.085,322.62781,348.36481,157.63759
2.503,322.9115,351.69971,162.55486
2.92,326.3396,353.7085,174.15036
3.337,324.8082,353.21158,175.60081
3.754,316.60437,335.44937,181.79861
4.171,305.98605,310.18784,194.91611
4.588,295.85022,291.32858,213.80698
5.005,185.9772,172.91611,292.82803
5.422,106.20007,139.24211,297.05917
5.839,87.26135,129.23218,284.7254
6.256,135.60141,180.46484,260.23911
6.673,205.61862,221.25253,201.43018
7.09,226.20377,226.54846,198.94194
7.508,229.58112,229.82852,202.71133
7.925,228.7623,231.05486,203.58412
8.342,230.07248,232.37105,200.25011
8.759,232.22314,230.62242,195.53276
9.176,232.81175,233.1544,191.09764
9.593,237.08263,237.61682,189.72119
10.01,249.86359,246.06482,193.95621
10.427,296.48865,292.3931,196.71907
10.844,326.23328,313.16885,177.80475
11.261,332.1882,327.85614,174.37599
11.678,332.54779,328.66449,173.61986
12.095,331.42133,325.4325,171.69473
12.512,331.03955,328.47983,174.93655
12.93,333.90314,331.84213,178.44685
13.347,337.1929,331.51099,180.76038
13.764,339.68201,324.84698,182.08162
14.181,276.85123,271.56293,232.18697
14.598,190.59666,192.90193,325.55518
15.015,78.88303,110.06226,370.67117
15.432,-24.21191,132.59706,330.97186
15.849,-7.47363,130.70447,314.00085
16.266,55.63132,155.03793,268.79749
16.683,242.67744,218.87067,147.89767
17.1,250.91098,219.856,143.1143
17.517,251.5799,222.49417,139.38702
17.935,253.36487,222.73784,138.3378
18.352,254.33025,222.98701,136.32504
18.769,254.06039,224.53209,138.21376
19.186,253.79236,230.35878,138.78844
19.603,273.90448,253.45097,148.96407
20.02,309.31146,308.24094,131.34622
20.437,317.59854,309.22025,125.33698
20.854,317.90164,309.52594,119.49646
21.271,322.91452,314.97833,126.55199
21.688,327.04224,315.15833,127.13226
22.105,331.39377,315.33923,129.01338
22.523,320.70575,301.08405,138.2915
22.94,303.32324,299.69562,128.23338
23.357,235.06168,232.64859,171.97289
23.774,129.53047,181.35138,118.19219
24.191,210.96164,170.58929,81.52584
24.608,203.71086,171.77469,78.73929
25.025,179.32196,159.01312,88.92034
25.442,177.80865,162.60054,91.11887
25.859,238.7123,214.7728,88.22955
26.276,286.15649,237.07043,127.87791
26.693,307.44308,255.87267,136.09323
27.11,313.24393,263.034,132.55731
27.528,294.06897,288.21085,121.60559
27.945,300.83469,321.33832,109.71653
28.362,309.5032,331.49881,78.81474
28.779,308.93011,330.62979,70.51641
29.196,299.62338,335.76956,71.87038
29.613,298.15518,335.02213,73.0719
30.03,297.65558,336.05298,72.66428
30.447,300.45691,335.74768,71.98722
30.864,305.12625,337.05869,75.03517
31.281,299.34772,336.38477,76.49516
31.698,300.30545,333.17969,78.17714
32.115,300.36914,329.93851,81.34052
32.533,302.88269,318.90848,104.80518
32.95,308.23486,318.69647,97.0849
33.367,311.37186,324.69025,85.84217
33.784,313.89999,326.70053,84.42019
34.201,315.37326,331.86011,82.31972
34.618,316.30453,329.94324,77.42258
35.035,300.8689,321.65607,89.38322
35.452,231.78925,234.18086,154.78391
35.869,110.75637,184.01172,297.44824
36.286,91.23045,165.80724,442.6127
36.703,34.43927,174.08624,466.55441
37.12,22.89834,190.28693,326.57373
37.537,144.89153,165.76317,255.96852
37.955,208.36316,190.69623,220.55487
38.372,277.46317,240.87473,156.22171
38.789,305.49316,271.11734,124.58671
39.206,310.93781,272.87949,114.37702
39.623,312.37491,271.81143,109.89635
40.04,310.86673,271.39279,110.02334
40.457,315.33099,270.80371,108.2291
40.874,312.99338,269.79898,109.2733
41.291,312.06857,271.16391,109.95864
41.708,304.61377,278.74768,110.44284
42.125,299.4621,314.47656,114.34737
42.542,308.78107,327.2085,95.74992
42.96,318.4212,329.90344,89.51003
43.377,326.46347,330.72736,86.68518
43.794,328.99335,334.22406,89.41735
44.211,332.39581,334.89993,87.52859
44.628,317.23361,333.67969,98.353
45.045,321.86917,334.87161,75.67806
45.462,324.31082,334.32993,70.76903
45.879,324.66785,333.31357,71.1092
46.296,283.75723,293.53549,140.80574
46.713,206.69661,199.23442,271.46805
47.13,146.19919,186.15121,430.03714
47.548,107.12984,179.68755,502.61902
